,Unnamed: 0,股票代码,股票名称,交易日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅%,涨跌额
0,96,837592,华信永道,2023-12-11,18.11,25.48,25.48,17.53,95110,194741641.0,40.56,30.0,5.88
1,96,430198,微创光电,2023-12-11,6.56,6.56,6.56,6.56,9777,6413613.6,0.0,29.9,1.51
2,96,300654,世纪天鸿,2023-12-11,12.41,14.91,14.91,12.22,794130,1112004464.0,21.66,20.05,2.49
3,96,300402,宝色股份,2023-12-11,17.06,20.47,20.47,17.02,131766,256253787.0,20.22,19.99,3.41
4,96,300210,森远股份,2023-12-11,11.62,13.5,13.52,11.62,864552,1106680178.0,16.55,17.6,2.02
5,96,300781,因赛集团,2023-12-11,38.0,44.65,46.5,38.0,283617,1193772365.0,21.85,14.78,5.75
6,96,430510,丰光精密,2023-12-11,13.44,14.45,15.5,12.85,79151,110747022.71,21.03,14.68,1.85
7,96,873001,纬达光电,2023-12-11,13.0,11.45,13.0,11.01,215562,266949959.74,19.9,14.5,1.45
8,96,688577,浙海德曼,2023-12-11,67.72,76.6,79.31,67.72,19442,143363352.0,17.17,13.5,9.11
9,96,300742,*ST越博,2023-12-11,6.6,7.38,7.8,6.27,336100,241059968.0,23.43,13.02,0.85
10,96,873169,七丰精工,2023-12-11,7.2,8.02,8.18,7.2,92620,70859606.57,13.74,12.48,0.89
11,96,873122,中纺标,2023-12-11,32.44,34.8,35.53,30.08,72520,239111413.33,17.47,11.54,3.6
12,96,300364,中文在线,2023-12-11,30.01,33.4,33.54,29.99,1457707,4662156613.0,11.84,11.41,3.42
13,52,688716,中研股份,2023-12-11,31.6,33.71,35.45,30.6,38030,125220726.0,15.93,10.71,3.26
14,96,300612,宣亚国际,2023-12-11,21.86,22.9,24.86,21.77,389396,897858520.0,14.91,10.52,2.18
15,96,2861,瀛通通讯,2023-12-11,13.61,15.0,15.0,13.51,210294,313530997.14,10.94,10.13,1.38
16,96,600712,南宁百货,2023-12-11,4.47,4.9,4.9,4.42,294725,139789495.0,10.79,10.11,0.45
17,96,912,泸天化,2023-12-11,4.51,4.9,4.9,4.46,988728,477711085.23,9.89,10.11,0.45
18,96,601999,出版传媒,2023-12-11,7.88,8.97,8.97,7.81,670924,569304372.0,14.23,10.06,0.82
19,96,601019,山东出版,2023-12-11,9.16,10.07,10.07,9.16,203832,196273711.0,9.95,10.05,0.92
20,96,601801,皖新传媒,2023-12-11,7.68,8.33,8.33,7.58,644286,514840747.0,9.91,10.04,0.76
21,96,2098,浔兴股份,2023-12-11,6.58,7.24,7.24,6.58,100050,71380387.76,10.03,10.03,0.66
22,96,2862,实丰文化,2023-12-11,16.37,18.11,18.11,16.13,64134,111175683.73,12.03,10.02,1.65
23,96,2625,光启技术,2023-12-11,14.0,14.82,14.82,13.81,579329,830870579.49,7.5,10.02,1.35
24,96,603488,展鹏科技,2023-12-11,10.33,11.31,11.31,10.2,254743,281853585.0,10.8,10.02,1.03
25,96,600846,同济科技,2023-12-11,9.26,10.21,10.21,9.23,264768,262771740.0,10.56,10.02,0.93
26,96,1234,泰慕士,2023-12-11,23.1,25.36,25.36,23.05,67650,167864044.05,10.02,10.02,2.31
27,96,609,*ST中迪,2023-12-11,7.29,8.02,8.02,7.21,606837,469160194.41,11.11,10.01,0.73
28,96,603178,圣龙股份,2023-12-11,39.95,43.84,43.84,39.94,395042,1687574332.0,9.79,10.01,3.99
29,96,605577,龙版传媒,2023-12-11,22.24,25.82,25.82,22.24,393630,977726642.0,15.25,10.01,2.35
30,96,605289,罗曼股份,2023-12-11,44.98,49.47,49.47,44.97,70478,343336818.0,10.01,10.01,4.5
31,96,600640,国脉文化,2023-12-11,12.65,13.74,13.74,12.27,423028,555645896.0,11.77,10.01,1.25
32,96,603006,联明股份,2023-12-11,13.0,14.94,14.94,13.0,176708,248306937.0,14.29,10.01,1.36
33,96,600678,四川金顶,2023-12-11,8.7,8.9,8.9,8.7,247983,219016498.0,2.47,10.01,0.81
34,96,409,云鼎科技,2023-12-11,8.24,9.01,9.01,8.2,400578,354214435.54,9.89,10.01,0.82
35,96,600560,金自天正,2023-12-11,16.45,17.82,17.82,15.8,301364,519765364.0,12.47,10.0,1.62
36,96,600083,*ST博信,2023-12-11,7.56,8.47,8.47,7.28,297836,246328633.0,15.45,10.0,0.77
37,96,603040,新坐标,2023-12-11,22.98,24.09,24.09,22.97,27787,66217772.0,5.11,10.0,2.19
38,96,1314,亿道信息,2023-12-11,50.7,53.35,53.35,49.8,98205,512380784.5,7.32,10.0,4.85
