,Unnamed: 0,股票代码,股票名称,交易日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅%,涨跌额
0,0,688691,灿芯股份,2024-04-11,55.0,49.7,56.88,49.1,180108,937545278.0,39.17,150.25,29.84
1,175,301161,唯万密封,2024-04-11,16.4,19.98,19.98,16.01,99251,187543325.0,23.84,20.0,3.33
2,175,300823,建科机械,2024-04-11,16.78,20.23,20.23,16.38,80773,156051772.0,22.84,19.99,3.37
3,175,301092,争光股份,2024-04-11,23.68,28.4,28.4,23.68,70262,191525851.0,19.94,19.98,4.73
4,175,300641,正丹股份,2024-04-11,6.21,6.55,6.55,6.21,511489,331315680.0,6.23,19.96,1.09
5,175,300079,数码视讯,2024-04-11,5.35,5.77,5.77,5.35,2575321,1464957046.0,8.73,19.96,0.96
6,175,300742,*ST越博,2024-04-11,3.43,4.07,4.1,3.41,121806,45888094.0,20.18,19.01,0.65
7,175,300409,道氏技术,2024-04-11,11.4,12.47,12.76,10.98,885520,1094958339.0,16.79,17.64,1.87
8,175,871245,威博液压,2024-04-11,10.76,12.91,13.69,10.51,32345,39920102.08,28.88,17.26,1.9
9,175,300905,宝丽迪,2024-04-11,15.3,16.71,16.98,15.26,170173,281356144.0,11.71,13.75,2.02
10,175,300916,朗特智能,2024-04-11,20.25,22.7,23.15,20.08,96650,212345521.0,15.37,13.61,2.72
11,175,300282,*ST三盛,2024-04-11,1.31,1.43,1.48,1.3,289541,40503547.0,14.29,13.49,0.17
12,175,301052,果麦文化,2024-04-11,27.39,31.05,32.32,27.34,161294,487389711.0,18.04,12.5,3.45
13,175,300234,开尔新材,2024-04-11,4.28,4.83,5.1,4.25,360348,175780586.0,19.68,11.81,0.51
14,175,301073,君亭酒店,2024-04-11,25.64,29.06,31.0,25.56,124211,341843796.0,20.74,10.79,2.83
15,175,603508,思维列控,2024-04-11,17.61,19.57,19.57,17.57,112538,221516687.0,11.29,10.44,1.85
16,175,600865,百大集团,2024-04-11,6.94,7.71,7.71,6.85,102260,78129533.0,12.3,10.3,0.72
17,175,601121,XD宝地矿,2024-04-11,6.4,7.0,7.0,6.39,432902,302501121.0,9.61,10.24,0.65
18,175,603813,原尚股份,2024-04-11,12.76,14.0,14.0,12.71,32909,46468836.0,10.16,10.24,1.3
19,175,2970,锐明技术,2024-04-11,26.78,29.48,29.48,26.51,98554,291396480.32,11.1,10.21,2.73
20,175,301388,欣灵电气,2024-04-11,18.69,20.85,22.15,18.59,62026,130330939.0,18.82,10.2,1.93
21,175,603289,XD泰瑞机,2024-04-11,8.53,9.42,9.42,8.4,228494,215640168.0,11.93,10.18,0.87
22,109,1378,德冠新材,2024-04-11,28.35,31.73,31.73,27.88,43298,135029084.6,13.37,10.17,2.93
23,175,600815,厦工股份,2024-04-11,2.44,2.72,2.72,2.39,682285,177338009.0,13.36,10.12,0.25
24,175,603500,祥和实业,2024-04-11,7.31,8.06,8.06,7.23,41060,44999099.0,11.34,10.11,0.74
25,175,2597,金禾实业,2024-04-11,20.48,20.91,20.91,20.48,150098,315954251.04,2.26,10.11,1.92
26,175,600984,建设机械,2024-04-11,3.26,3.5,3.5,3.19,765281,255079982.0,9.75,10.06,0.32
27,105,1376,百通能源,2024-04-11,24.4,24.75,24.75,21.48,135500,323559221.93,14.54,10.05,2.26
28,175,2761,浙江建投,2024-04-11,8.33,9.2,9.2,8.25,566406,510117841.34,11.36,10.05,0.84
29,175,888,峨眉山Ａ,2024-04-11,11.93,13.37,13.37,11.55,934016,1173442296.71,14.98,10.04,1.22
30,175,603392,XD万泰生,2024-04-11,73.84,73.84,73.84,73.84,20087,148963857.0,0.0,10.04,6.74
31,175,601179,中国西电,2024-04-11,5.68,6.03,6.03,5.68,1255829,743381549.0,6.39,10.04,0.55
32,175,528,柳    工,2024-04-11,9.77,10.86,10.86,9.7,1050027,1108673300.79,11.75,10.03,0.99
33,175,428,华天酒店,2024-04-11,3.63,4.06,4.06,3.59,783486,300226318.74,12.74,10.03,0.37
34,175,2805,丰元股份,2024-04-11,16.3,16.56,16.56,15.6,573697,936181573.17,6.38,10.03,1.51
35,175,603358,华达科技,2024-04-11,23.8,24.93,24.93,22.97,146363,354655662.0,8.65,10.02,2.27
