,Unnamed: 0,股票代码,股票名称,交易日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅%,涨跌额
0,115,836149,旭杰科技,2024-01-08,7.85,9.66,10.36,7.85,212383,206294548.82,31.49,21.2,1.69
1,115,300076,GQY视讯,2024-01-08,5.33,6.4,6.4,5.26,593529,352637243.0,21.39,20.08,1.07
2,115,300989,蕾奥规划,2024-01-08,18.86,22.09,22.09,18.83,135369,286066125.0,17.71,19.99,3.68
3,115,831152,昆工科技,2024-01-08,17.38,19.09,19.8,17.1,57589,108624170.84,16.47,16.47,2.7
4,115,300956,英力股份,2024-01-08,14.92,17.28,18.17,14.92,230550,474270922.0,21.48,14.21,2.15
5,115,873122,中纺标,2024-01-08,30.46,33.82,35.22,30.0,61437,202421345.09,17.49,13.3,3.97
6,115,600066,宇通客车,2024-01-08,12.51,13.17,13.17,12.51,597189,865765103.0,5.57,11.23,1.33
7,115,605158,华达新材,2024-01-08,9.0,9.21,9.21,8.72,402124,373989478.0,5.87,10.3,0.86
8,115,2882,金龙羽,2024-01-08,15.9,17.55,17.55,15.48,531782,909021488.82,12.99,10.1,1.61
9,115,600825,新华传媒,2024-01-08,4.66,5.13,5.13,4.65,267721,135260229.0,10.3,10.09,0.47
10,115,715,中兴商业,2024-01-08,7.55,8.32,8.32,7.26,338810,276965491.3,14.02,10.05,0.76
11,115,600234,*ST科新,2024-01-08,7.74,8.45,8.45,7.72,66775,55976209.0,9.51,10.03,0.77
12,115,603099,长白山,2024-01-08,22.73,24.04,24.04,21.91,272519,632738069.0,9.75,10.02,2.19
13,115,2395,双象股份,2024-01-08,19.57,21.52,21.52,19.56,336160,707764385.96,10.02,10.02,1.96
14,115,603065,宿迁联盛,2024-01-08,15.9,16.8,16.8,15.15,210699,345935474.0,10.81,10.02,1.53
15,115,2177,御银股份,2024-01-08,4.79,5.27,5.27,4.6,1440897,727346588.94,13.99,10.02,0.48
16,115,605303,园林股份,2024-01-08,12.33,13.62,13.62,12.29,37145,49463511.0,10.74,10.02,1.24
17,115,2786,银宝山新,2024-01-08,15.56,16.8,16.8,15.41,1243854,2029947103.72,9.1,10.02,1.53
18,115,600775,南京熊猫,2024-01-08,11.05,11.87,11.87,11.05,345250,402633587.0,7.6,10.01,1.08
19,115,3025,思进智能,2024-01-08,16.03,17.59,17.59,15.31,510773,855250941.24,14.26,10.01,1.6
20,115,605488,福莱新材,2024-01-08,15.91,18.14,18.14,15.91,204298,351793357.0,13.52,10.01,1.65
21,115,605287,德才股份,2024-01-08,16.89,18.7,18.7,16.89,90304,165133391.0,10.65,10.0,1.7
22,115,600593,大连圣亚,2024-01-08,29.89,30.15,30.15,29.32,149492,449533967.0,3.03,10.0,2.74
23,115,605378,野马电池,2024-01-08,26.91,29.93,29.93,26.26,105104,297938582.0,13.49,10.0,2.72
24,115,2703,浙江世宝,2024-01-08,12.78,14.08,14.08,12.54,549738,762067538.16,12.03,10.0,1.28
25,115,2819,东方中科,2024-01-08,36.01,36.86,36.86,35.3,205448,751298981.16,4.66,10.0,3.35
26,115,603977,国泰集团,2024-01-08,9.91,11.0,11.0,9.91,334646,351316322.0,10.9,10.0,1.0
27,115,603396,金辰股份,2024-01-08,54.44,59.88,59.88,53.7,158451,912901157.0,11.35,9.99,5.44
28,115,2403,爱仕达,2024-01-08,9.92,10.68,10.68,9.32,443159,441283328.69,14.01,9.99,0.97
29,115,603628,清源股份,2024-01-08,22.98,25.78,25.78,22.5,362187,894509885.0,13.99,9.98,2.34
30,115,2584,西陇科学,2024-01-08,9.42,10.36,10.36,8.89,1244726,1207511979.24,15.61,9.98,0.94
31,115,2347,泰尔股份,2024-01-08,6.07,6.72,6.72,6.07,949820,628878222.36,10.64,9.98,0.61
32,115,603168,莎普爱思,2024-01-08,12.27,13.33,13.33,12.23,267458,345069867.0,9.08,9.98,1.21
33,115,2197,ST证通,2024-01-08,10.09,11.04,11.04,9.98,472832,508799729.69,10.56,9.96,1.0
34,115,2337,赛象科技,2024-01-08,5.51,6.08,6.08,5.46,513987,307206387.4,11.21,9.95,0.55
35,115,600239,云南城投,2024-01-08,3.22,3.22,3.22,3.07,3024383,968152889.0,5.12,9.9,0.29
36,115,2323,雅博股份,2024-01-08,2.79,2.89,2.89,2.79,1441370,413259899.14,3.8,9.89,0.26
37,97,301510,固高科技,2024-01-08,34.36,37.07,37.07,33.28,52386,184925105.0,11.08,8.39,2.87
38,115,300778,新城市,2024-01-08,13.64,14.31,15.18,13.48,161391,230491311.0,12.87,8.33,1.1
39,115,603392,XD万泰生,2024-01-08,79.5,86.68,87.68,79.19,271699,2297713707.0,10.61,8.31,6.65
40,115,833266,生物谷,2024-01-08,12.8,14.0,14.81,12.8,143637,201988206.21,15.46,7.69,1.0
41,115,872925,锦好医疗,2024-01-08,13.5,13.97,14.5,13.13,76907,106662119.86,10.55,7.63,0.99
42,115,2610,ST爱康,2024-01-08,2.06,2.2,2.26,2.04,2891720,632419909.6,10.73,7.32,0.15
43,115,2536,飞龙股份,2024-01-08,13.74,14.73,14.91,13.61,566015,819392158.46,9.44,6.97,0.96
44,115,603212,赛伍技术,2024-01-08,16.86,18.05,18.63,16.51,489193,881959870.0,12.51,6.55,1.11
45,111,301172,君逸数码,2024-01-08,40.2,44.33,44.57,40.18,111081,473882413.0,10.55,6.54,2.72
46,115,600697,欧亚集团,2024-01-08,13.5,14.13,14.61,13.32,261524,368551560.0,9.71,6.4,0.85
47,115,603721,中广天择,2024-01-08,26.0,27.58,28.55,25.98,305968,845902861.0,9.9,6.28,1.63
48,115,1219,青岛食品,2024-01-08,23.1,24.42,24.69,23.1,84914,203687263.81,6.91,6.17,1.42
49,115,2780,三夫户外,2024-01-08,14.52,15.42,15.98,13.99,360722,542044926.48,13.7,6.13,0.89
50,115,301505,苏州规划,2024-01-08,34.87,36.89,37.83,34.87,42697,156693260.0,8.5,5.98,2.08
51,115,2952,亚世光电,2024-01-08,38.92,42.92,44.39,38.51,322929,1354178679.81,14.51,5.95,2.41
52,115,836892,广咨国际,2024-01-08,10.75,10.87,12.07,10.75,43322,61728474.98,12.87,5.95,0.61
53,115,600610,中毅达,2024-01-08,8.77,9.24,9.33,8.6,688055,620573391.0,8.36,5.84,0.51
54,115,605020,永和股份,2024-01-08,27.17,28.26,28.35,27.0,105195,293270547.0,5.05,5.8,1.55
55,115,1226,拓山重工,2024-01-08,34.66,36.61,36.8,33.98,48673,174428254.0,8.14,5.66,1.96
56,115,831167,鑫汇科,2024-01-08,16.93,18.08,18.3,16.9,26265,46684549.75,8.17,5.55,0.95
57,115,2620,瑞和股份,2024-01-08,5.31,5.62,5.86,5.31,405519,226542996.55,10.32,5.44,0.29
58,115,605117,德业股份,2024-01-08,52.79,55.85,56.91,52.79,211366,1680676384.0,7.76,5.16,2.74
59,115,2362,汉王科技,2024-01-08,24.66,26.28,27.2,24.25,295133,764662673.88,11.8,5.12,1.28
60,115,600824,益民集团,2024-01-08,3.96,4.14,4.33,3.88,854950,355745426.0,11.42,5.08,0.2
61,115,600306,退市商城,2024-01-08,12.3,12.64,12.64,11.83,69958,86529834.0,6.73,4.98,0.6
62,115,870204,沪江材料,2024-01-08,15.3,15.86,17.87,15.12,65788,108614121.02,18.19,4.89,0.74
63,115,2269,美邦服饰,2024-01-08,1.66,1.73,1.81,1.65,1301698,225120133.6,9.7,4.85,0.08
64,115,564,供销大集,2024-01-08,1.74,1.74,1.74,1.74,111289,19364273.82,0.0,4.82,0.08
65,107,301371,敷尔佳,2024-01-08,37.9,39.65,41.0,37.11,55142,223081875.0,10.28,4.76,1.8
