股票代码,股票名称,最新价,涨跌幅,涨跌额,成交量（手）,成交额,振幅,换手率,市盈率,量比,最高,最低,今开,昨收,市净率
873122,中纺标,63.63,29.99,14.68,60936,359422095.34,31.93,17.88,473.47,3.16,63.63,48.0,50.0,48.95,0.0
832885,星辰科技,10.27,28.05,2.25,175270,172669154.72,26.68,20.26,132.18,4.08,10.42,8.28,8.28,8.02,0.0
871753,天纺标,45.26,26.35,9.44,62962,256873907.44,28.48,20.0,180.77,2.07,45.8,35.6,36.6,35.82,1.55
833873,中设咨询,4.93,24.81,0.98,150932,66371226.97,28.86,13.82,-9.92,2.29,4.95,3.81,3.98,3.95,3.79
300374,中铁装配,18.16,20.03,3.03,256873,431888655.19,17.18,12.63,-45.69,1.8,18.16,15.56,15.56,15.13,0.0
300527,中船应急,10.01,20.02,1.67,691714,649354295.67,19.42,7.18,-3774.06,3.43,10.01,8.39,8.45,8.34,0.2
300967,晓鸣股份,12.89,20.02,2.15,133727,167317858.56,15.83,10.71,-41.87,2.81,12.89,11.19,11.19,10.74,0.0
300961,深水海纳,13.55,20.02,2.26,109058,147773508.7,0.0,7.22,3976.9,1.55,13.55,13.55,13.55,11.29,0.0
301516,中远通,21.35,20.01,3.56,199299,400872340.42,21.64,30.52,-162.39,3.3,21.35,17.5,18.01,17.79,0.0
301163,宏德股份,25.74,20.0,4.29,42050,105022482.18,19.91,12.57,56.17,2.17,25.74,21.47,21.47,21.45,0.0
300427,红相股份,7.32,20.0,1.22,1064632,778507515.23,4.1,27.1,171.32,20.07,7.32,7.07,7.32,6.1,0.0
300114,中航电测,72.91,20.0,12.15,500861,3414977777.21,17.96,8.48,256.33,3.26,72.91,62.0,62.97,60.76,0.0
300788,中信出版,34.03,19.99,5.67,135197,428899224.47,19.68,7.11,34.83,2.43,34.03,28.45,29.29,28.36,0.0
301178,天亿马,30.55,19.99,5.09,53902,164493199.45,1.45,12.36,-87.56,1.46,30.55,30.18,30.18,25.46,0.0
301456,盘古智能,26.35,19.99,4.39,83439,212656971.06,19.49,14.77,66.35,3.69,26.35,22.07,22.3,21.96,0.0
301508,中机认检,42.92,19.99,7.15,166294,678961962.18,20.69,36.78,71.12,3.61,42.92,35.52,36.55,35.77,1.49
300847,中船汉光,20.41,19.99,3.4,291341,557996954.04,19.93,9.84,49.42,2.9,20.41,17.02,17.47,17.01,0.0
301232,飞沃科技,31.82,19.98,5.3,55937,172101900.48,18.02,12.78,-24.48,2.56,31.82,27.04,27.04,26.52,0.0
301218,华是科技,27.56,19.98,4.59,112978,302065599.98,11.67,19.82,-144.8,2.97,27.56,24.88,24.99,22.97,0.0
301058,中粮科工,11.77,19.98,1.96,332700,367016323.95,18.25,6.49,36.55,2.46,11.77,9.98,9.98,9.81,0.0
300147,香雪制药,8.77,19.97,1.46,1458518,1238987007.0,17.24,22.18,-21.44,2.29,8.77,7.51,7.51,7.31,0.0
300425,中建环能,5.54,19.91,0.92,661238,341285352.83,20.78,9.75,74.04,2.66,5.54,4.58,4.71,4.62,0.0
300077,国民技术,23.18,19.86,3.84,3130018,7166219085.19,8.84,55.3,-50.46,15.66,23.21,21.5,23.21,19.34,0.04
300844,山水比德,34.65,18.34,5.37,35057,113289090.0,16.73,15.57,91.86,1.83,34.9,30.0,30.0,29.28,1.61
835892,中科美菱,13.3,17.91,2.02,43690,54653447.52,22.96,15.66,61.69,2.26,13.5,10.91,11.25,11.28,0.76
300978,东箭科技,13.45,17.47,2.0,403880,535106427.99,20.0,21.37,31.63,4.81,13.74,11.45,11.65,11.45,-0.22
688648,中邮科技,26.05,16.82,3.75,61490,150947802.0,22.78,20.09,-53.23,3.26,26.7,21.62,22.3,22.3,-0.53
300008,天海防务,5.27,16.34,0.74,1651886,806611296.65,16.56,10.03,74.97,1.95,5.3,4.55,4.55,4.53,2.73
300853,申昊科技,24.04,16.14,3.34,379215,906228630.51,12.08,34.39,-25.5,5.7,24.84,22.34,23.0,20.7,1.78
688035,德邦科技,44.4,16.08,6.15,101135,424574502.0,15.95,11.39,93.67,2.55,45.1,39.0,40.91,38.25,1.35
300011,鼎汉技术,9.49,16.01,1.31,495631,439408475.15,17.11,9.88,217.11,1.71,9.63,8.23,8.26,8.18,0.42
688615,合合信息,202.55,15.67,27.44,48812,971945226.0,15.6,25.97,45.88,0.93,208.38,181.06,199.0,175.11,0.27
688070,纵横股份,37.51,15.42,5.01,26425,94799138.0,16.46,3.02,-30.98,2.68,37.85,32.5,32.5,32.5,0.48
301230,泓博医药,27.8,15.4,3.71,163914,460327477.89,12.0,21.33,121.44,4.9,28.91,26.02,26.02,24.09,0.22
300881,盛德鑫泰,35.4,15.31,4.7,62942,213685699.36,9.12,10.96,15.8,1.37,35.55,32.75,33.6,30.7,1.2
688569,铁科轨道,25.58,15.17,3.37,30363,72035857.0,17.11,1.44,23.34,2.13,25.6,21.8,22.8,22.21,3.56
301215,中汽股份,7.01,15.11,0.92,529488,351898660.84,19.05,6.9,62.77,2.59,7.26,6.1,6.34,6.09,0.57
300851,交大思诺,34.91,15.02,4.56,41922,141250071.18,17.4,9.57,60.22,2.1,35.68,30.4,30.4,30.35,-0.29
300875,捷强装备,35.15,14.87,4.55,99538,335311016.59,19.05,14.94,1411.11,1.82,35.93,30.1,31.89,30.6,-0.06
835368,连城数控,48.72,14.64,6.22,129570,562395031.34,34.61,10.17,17.7,2.26,51.1,36.39,44.4,42.5,0.02
