股票代码,股票名称,最新价,涨跌幅,涨跌额,成交量（手）,成交额,振幅,换手率,市盈率,量比,最高,最低,今开,昨收,市净率
300990,同飞股份,28.43,20.01,4.74,41982,119354655.42,0.0,9.97,108.67,4.36,28.43,28.43,28.43,23.69,0.0
301421,波长光电,35.88,20.0,5.98,160235,550672904.05,14.05,34.6,72.09,3.36,35.88,31.68,31.95,29.9,0.0
300561,汇金科技,10.98,20.0,1.83,465856,458302868.76,21.64,25.83,-546.35,1.25,10.98,9.0,9.1,9.15,0.0
300225,金力泰,5.87,12.67,0.66,316074,181498835.0,17.08,6.66,107.38,9.28,6.1,5.21,5.33,5.21,0.17
300260,新莱应材,17.98,11.47,1.85,242345,430669559.0,13.52,8.43,26.1,6.02,18.89,16.71,16.99,16.13,-0.11
300293,蓝英装备,16.09,11.2,1.62,485647,796444633.18,10.85,17.32,-2211.78,1.89,17.3,15.73,16.13,14.47,-0.06
300917,特发服务,33.69,10.86,3.3,172905,555345215.28,14.77,10.23,49.43,2.6,34.9,30.41,30.43,30.39,0.48
300489,光智科技,19.33,10.71,1.87,56591,106927020.47,14.03,4.13,-37.58,5.63,19.91,17.46,17.46,17.46,-0.15
002031,巨轮智能,2.59,10.21,0.24,2914114,746554393.61,11.06,14.7,501.99,5.93,2.59,2.33,2.35,2.35,0.0
600719,大连热电,5.78,10.1,0.53,769969,433707391.0,9.14,19.03,-28.27,5.13,5.78,5.3,5.35,5.25,0.0
600107,美尔雅,3.93,10.08,0.36,153792,57890424.0,12.61,4.27,-25.74,2.18,3.93,3.48,3.53,3.57,0.0
000595,宝塔实业,5.47,10.06,0.5,682408,349744359.89,14.89,6.0,-96.9,1.57,5.47,4.73,4.83,4.97,0.0
002066,瑞泰科技,8.54,10.05,0.78,85438,70979268.02,11.86,3.7,26.32,3.29,8.54,7.62,7.72,7.76,0.0
000736,中交地产,8.98,10.05,0.82,699200,581406493.57,13.24,10.05,-3.41,3.43,8.98,7.9,8.07,8.16,0.0
600705,中航产融,2.52,10.04,0.23,910640,218739715.0,11.79,1.03,46.96,1.78,2.52,2.25,2.28,2.29,0.0
000004,国华网安,12.06,10.04,1.1,140550,168495942.14,10.86,11.13,-42.0,1.03,12.06,10.87,11.05,10.96,0.0
605086,龙高股份,16.12,10.03,1.47,46121,73322805.0,10.38,2.57,31.85,6.66,16.12,14.6,14.62,14.65,0.0
001236,弘业期货,9.87,10.03,0.9,631415,582606765.84,16.61,19.34,388.52,1.67,9.87,8.38,8.93,8.97,0.0
600658,电子城,3.62,10.03,0.33,569205,195220845.0,10.94,5.09,-41.78,8.86,3.62,3.26,3.48,3.29,0.0
002686,亿利达,4.5,10.02,0.41,257131,111636449.59,11.98,4.92,37.66,6.06,4.5,4.01,4.07,4.09,0.0
600619,海立股份,5.93,10.02,0.54,104425,61924150.0,0.0,1.32,757.35,0.3,5.93,5.93,5.93,5.39,0.0
002338,奥普光电,26.71,10.01,2.43,143534,381450739.62,4.24,5.98,94.04,3.35,26.71,25.68,26.0,24.28,0.0
002549,凯美特气,5.39,10.0,0.49,85251,45370511.63,4.9,1.23,-33.5,1.7,5.39,5.15,5.24,4.9,0.0
002291,遥望科技,4.62,10.0,0.42,349088,159387422.79,10.71,3.98,-9.83,2.82,4.62,4.17,4.19,4.2,0.0
000158,常山北明,9.13,10.0,0.83,3505542,3153737041.47,11.69,22.08,-29.96,1.62,9.13,8.16,8.16,8.3,0.0
600550,保变电气,9.36,9.99,0.85,3185040,2805798659.0,19.98,17.3,378.24,1.76,9.36,7.66,8.75,8.51,0.0
605011,杭州热电,19.94,9.98,1.81,99482,191709740.0,11.31,2.49,34.18,5.64,19.94,17.89,18.0,18.13,0.0
600053,九鼎投资,13.0,9.98,1.18,87883,109321321.0,11.0,2.03,353.05,3.54,13.0,11.7,11.74,11.82,0.0
600895,张江高科,19.17,9.98,1.74,262501,503214551.0,0.0,1.69,55.75,0.83,19.17,19.17,19.17,17.43,0.0
600198,大唐电信,6.39,9.98,0.58,233351,146786404.0,4.82,2.65,-67.38,2.19,6.39,6.11,6.21,5.81,0.0
603607,京华激光,14.01,9.97,1.27,140043,194194515.0,4.71,7.84,30.34,1.69,14.01,13.41,13.68,12.74,0.0
002693,双成药业,7.63,9.94,0.69,20659,15762817.0,0.0,0.5,-93.36,0.22,7.63,7.63,7.63,6.94,0.0
603421,鼎信通讯,5.54,9.92,0.5,733700,389871302.0,11.31,11.25,-37.14,2.3,5.54,4.97,5.03,5.04,0.0
000903,云内动力,2.02,9.78,0.18,1148809,230193818.78,4.89,5.98,-19.74,2.77,2.02,1.93,1.93,1.84,0.0
000560,我爱我家,2.68,9.39,0.23,4046019,1049711560.67,11.02,17.94,107.52,3.41,2.7,2.43,2.45,2.45,0.37
688593,新相微,9.35,9.1,0.78,65808,59004936.0,9.92,2.06,-638.02,3.91,9.4,8.55,8.6,8.57,0.54
301021,英诺激光,17.69,9.06,1.47,105312,186921496.49,12.76,6.95,-205.55,4.32,18.77,16.7,16.92,16.22,-0.11
002893,京能热力,8.78,8.93,0.72,134410,115663636.32,11.04,6.63,10.08,7.44,8.87,7.98,8.07,8.06,-0.23
600463,空港股份,10.64,8.79,0.86,347503,336646457.0,20.04,11.58,-29.74,4.32,10.76,8.8,9.1,9.78,-0.47
300925,法本信息,12.8,8.47,1.0,607427,747832795.78,14.66,19.07,37.1,1.0,13.18,11.45,11.62,11.8,-0.85
300287,飞利信,2.75,8.27,0.21,1479258,414297217.84,16.54,11.29,-18.54,1.06,2.98,2.56,2.56,2.54,-0.36
000521,长虹美菱,9.25,8.06,0.69,432278,392440384.1,9.58,4.94,11.48,1.92,9.35,8.53,8.53,8.56,-0.43
300830,金现代,6.16,7.69,0.44,318567,199345523.99,18.01,10.11,-52.01,2.51,6.68,5.65,5.76,5.72,-0.16
002533,金杯电工,8.61,7.36,0.59,211611,179454278.8,9.6,3.32,11.46,5.07,8.72,7.95,8.06,8.02,-0.23
300331,苏大维格,15.89,7.22,1.07,174131,278702777.46,5.94,8.67,60.24,1.49,16.48,15.6,15.6,14.82,-0.06
430489,佳先股份,6.8,7.09,0.45,103846,72368066.36,13.39,12.12,25.31,1.81,7.45,6.6,6.9,6.35,0.59
001872,招商港口,19.66,7.02,1.29,78591,151387930.0,7.68,0.45,9.65,1.71,19.75,18.34,18.34,18.37,-0.2
600272,开开实业,11.2,6.87,0.72,374349,401316828.0,10.21,23.4,43.88,1.99,11.5,10.43,10.5,10.48,-0.18
688084,晶品特装,34.72,6.83,2.22,5623,19196344.0,9.29,1.56,-66.44,4.18,35.42,32.4,32.5,32.5,-0.03
603356,华菱精工,12.0,6.76,0.76,41739,49699003.0,9.61,3.13,-20.37,3.66,12.35,11.27,11.6,11.24,0.0
301337,亚华电子,26.99,6.51,1.65,55369,143544608.94,7.06,14.26,-110.73,0.93,27.05,25.26,25.6,25.34,4.05
300201,海伦哲,3.11,6.51,0.19,289028,91292356.64,10.27,2.79,31.61,6.81,3.34,3.04,3.2,2.92,0.32
600830,香溢融通,8.61,6.43,0.52,346640,291643588.0,10.63,7.63,45.93,2.82,8.81,7.95,8.0,8.09,-0.35
600336,澳柯玛,5.68,6.37,0.34,722683,405948909.0,13.3,9.06,45.28,2.41,5.87,5.16,5.18,5.34,-0.18
300655,晶瑞电材,6.57,6.31,0.39,332605,218483744.88,7.44,3.5,-699.41,3.81,6.78,6.32,6.38,6.18,0.15
300691,联合光电,15.78,6.26,0.93,124393,194479801.92,7.0,6.43,75.13,2.37,16.16,15.12,15.12,14.85,0.06
002285,世联行,2.04,6.25,0.12,1323569,259156696.2,12.5,6.7,133.87,1.82,2.1,1.86,1.91,1.92,-0.49
601298,青岛港,8.73,6.2,0.51,161398,137724657.0,7.3,0.3,10.73,1.49,8.75,8.15,8.17,8.22,0.11
300947,德必集团,13.68,6.05,0.78,89606,118762030.15,12.09,5.84,77.52,2.62,14.18,12.62,12.77,12.9,0.59
002261,拓维信息,12.98,6.05,0.74,1149066,1445514494.5,9.8,10.19,2444.08,1.32,13.2,12.0,12.03,12.24,0.31
