股票代码,股票名称,最新价,涨跌幅,涨跌额,成交量（手）,成交额,振幅,换手率,市盈率,量比,最高,最低,今开,昨收,市净率
300011,鼎汉技术,6.46,20.07,1.08,798889,503025421.93,16.73,15.93,186.78,8.11,6.46,5.56,5.6,5.38,0.0
300150,世纪瑞尔,3.47,20.07,0.58,314031,108929123.94,2.42,6.1,-38.86,2.23,3.47,3.4,3.46,2.89,0.0
300518,新迅达,9.35,20.03,1.56,126665,110634292.71,22.34,6.35,-7.46,4.0,9.35,7.61,7.86,7.79,0.0
300875,捷强装备,26.14,20.02,4.36,168807,401118528.5,22.73,25.6,-115.36,1.27,26.14,21.19,21.3,21.78,0.0
300180,华峰超纤,4.5,20.0,0.75,1886178,821605497.41,14.67,12.79,85.95,8.4,4.5,3.95,3.98,3.75,0.0
300379,东方通,9.43,19.97,1.57,691131,595664621.94,19.72,13.12,-18.03,6.8,9.43,7.88,7.98,7.86,0.0
300184,力源信息,7.33,19.97,1.22,5184476,3623686104.62,13.75,49.46,72.94,4.55,7.33,6.49,6.6,6.11,0.0
300468,四方精创,9.5,19.95,1.58,366950,343203263.75,11.36,6.94,76.69,6.46,9.5,8.6,8.6,7.92,0.0
300465,高伟达,8.24,19.94,1.37,702566,561011926.17,17.9,15.73,453.28,15.6,8.24,7.01,7.03,6.87,0.0
300027,华谊兄弟,2.47,19.9,0.41,4199721,1006786165.38,16.02,16.9,-92.31,2.46,2.47,2.14,2.18,2.06,0.0
300511,雪榕生物,3.65,19.67,0.6,1095921,381212821.97,20.98,26.22,86.86,2.73,3.66,3.02,3.06,3.05,0.83
300371,汇中股份,11.11,16.7,1.59,350816,369707248.24,19.01,25.83,137.75,7.09,11.42,9.61,9.65,9.52,-0.54
871981,晶赛科技,13.96,14.33,1.75,76237,109897595.98,19.82,20.59,-479.44,3.83,15.6,13.18,13.88,12.21,1.01
300050,世纪鼎利,5.57,14.14,0.69,2870513,1647106841.83,11.48,52.72,-375.53,3.43,5.86,5.3,5.86,4.88,-2.45
301148,嘉戎技术,18.5,13.01,2.13,46190,79383906.9,19.61,12.0,42.12,2.12,19.26,16.05,16.21,16.37,1.65
300630,普利制药,11.79,12.93,1.35,952318,1114528652.58,13.7,28.15,19.97,2.85,12.49,11.06,11.06,10.44,1.29
300139,晓程科技,14.0,12.54,1.56,764436,1047863992.68,16.8,32.72,96.79,1.59,14.8,12.71,12.8,12.44,0.14
300456,赛微电子,16.52,12.46,1.83,564123,923592891.55,9.46,9.5,-259.36,6.13,16.9,15.51,15.82,14.69,0.0
300130,新国都,16.37,12.2,1.78,515740,819079559.46,12.68,12.07,10.22,7.0,16.65,14.8,14.85,14.59,0.12
300853,申昊科技,13.85,11.78,1.46,147398,209355066.08,20.1,13.37,-15.4,8.44,14.87,12.38,12.47,12.39,-0.22
300242,佳云科技,2.42,11.01,0.24,1047062,248631139.38,21.56,16.63,-24.68,1.89,2.6,2.13,2.19,2.18,-0.41
300079,数码视讯,4.96,10.71,0.48,1754453,857519539.21,19.64,13.82,256.53,5.11,5.25,4.37,4.44,4.48,0.0
300542,新晨科技,13.06,10.68,1.26,343904,436789753.66,10.17,14.09,-73.81,4.76,13.2,12.0,12.0,11.8,0.46
002094,青岛金王,2.37,10.23,0.22,443918,101279985.79,12.56,6.43,44.41,2.37,2.37,2.1,2.11,2.15,0.0
002370,亚太药业,3.37,10.13,0.31,1413687,471375215.0,6.21,23.21,-171.17,4.54,3.37,3.18,3.3,3.06,0.0
688205,德科立,30.03,10.12,2.76,52933,153660025.0,13.64,7.8,39.44,2.63,30.44,26.72,27.06,27.27,-0.07
600839,四川长虹,4.69,10.09,0.43,3487955,1584089768.0,8.22,7.56,30.81,6.06,4.69,4.34,4.34,4.26,0.0
600421,华嵘控股,6.66,10.08,0.61,142884,92700021.0,12.23,7.3,-558.92,2.84,6.66,5.92,6.0,6.05,0.0
605398,新炬网络,15.24,10.04,1.39,18104,27282538.0,9.68,1.11,66.62,2.1,15.24,13.9,13.92,13.85,0.0
000810,创维数字,11.08,10.03,1.01,1264833,1376221775.44,9.14,11.32,30.0,2.88,11.08,10.16,10.46,10.07,0.0
002246,北化股份,9.0,10.02,0.82,387176,330448826.36,11.61,7.05,-111.07,0.8,9.0,8.05,8.08,8.18,0.0
002915,中欣氟材,10.43,10.02,0.95,144912,149192852.58,10.97,5.03,332.34,0.95,10.43,9.39,9.54,9.48,0.0
001379,腾达科技,28.88,10.02,2.63,348381,927519892.68,17.26,69.68,72.28,1.48,28.88,24.35,24.79,26.25,0.0
605178,时空科技,14.94,10.01,1.36,89742,128012506.0,12.0,9.04,-10.41,1.26,14.94,13.31,13.57,13.58,0.0
002425,凯撒文化,3.19,10.0,0.29,1234884,378454275.3,12.76,12.92,126.63,1.88,3.19,2.82,2.85,2.9,0.0
001287,中电港,18.04,10.0,1.64,540402,959830171.2,5.79,12.36,66.87,5.09,18.04,17.09,17.09,16.4,0.0
603826,坤彩科技,30.59,10.0,2.78,47709,142446265.0,10.46,0.73,227.01,1.64,30.59,27.68,27.68,27.81,0.0
001298,好上好,25.87,9.99,2.35,219589,559151860.92,4.89,20.87,281.22,1.45,25.87,24.72,24.87,23.52,0.0
001319,铭科精技,16.52,9.99,1.5,56541,89872585.4,11.52,9.27,28.61,3.89,16.52,14.79,15.02,15.02,0.0
001236,弘业期货,7.71,9.99,0.7,257271,193409656.53,7.28,7.88,303.5,2.6,7.71,7.2,7.34,7.01,0.0
