股票代码,股票名称,最新价,涨跌幅,涨跌额,成交量（手）,成交额,振幅,换手率,市盈率,量比,最高,最低,今开,昨收,市净率
837212,智新电子,8.84,30.0,2.04,92478,76739945.06,20.0,17.72,57.95,10.33,8.84,7.48,7.62,6.8,0.0
300131,英唐智控,5.74,20.08,0.96,1843226,1007996018.51,17.57,17.64,91.23,2.72,5.74,4.9,4.9,4.78,0.0
688733,壹石通,15.16,20.03,2.53,64460,93328938.0,14.89,3.23,259.86,5.81,15.16,13.28,13.28,12.63,0.0
300184,力源信息,7.73,20.03,1.29,2300487,1672297289.75,15.84,21.95,76.92,0.55,7.73,6.71,6.75,6.44,0.0
300562,乐心医疗,17.14,20.03,2.86,617637,1011318072.5,11.48,38.6,53.34,1.45,17.14,15.5,15.55,14.28,0.0
300786,国林科技,10.79,20.02,1.8,107109,114280572.58,18.24,7.3,-40.22,4.19,10.79,9.15,9.15,8.99,0.0
300686,智动力,11.09,20.02,1.85,393536,431678298.05,6.28,19.81,-24.6,1.87,11.09,10.51,10.57,9.24,0.0
301036,双乐股份,32.03,20.01,5.34,142538,423756816.25,18.66,20.24,23.99,1.94,32.03,27.05,27.05,26.69,0.0
300399,天利科技,12.54,20.0,2.09,311783,376358983.8,20.0,15.78,-69.19,2.51,12.54,10.45,10.58,10.45,0.0
301129,瑞纳智能,20.23,19.99,3.37,41267,77646303.6,20.58,11.49,-80.45,2.72,20.23,16.76,16.86,16.86,0.0
301419,阿莱德,25.94,19.98,4.32,62377,154901930.48,20.58,17.65,76.39,8.92,25.94,21.49,21.49,21.62,0.0
300295,三六五网,10.93,19.98,1.82,324943,334372937.0,20.97,19.39,152.39,3.15,10.93,9.02,9.06,9.11,0.0
300333,兆日科技,6.25,19.96,1.04,551366,322879590.65,19.96,16.47,-521.35,1.28,6.25,5.21,5.39,5.21,0.0
300337,银邦股份,10.46,19.95,1.74,1494803,1500036740.22,12.16,21.01,51.71,2.56,10.46,9.4,9.4,8.72,0.0
300043,星辉娱乐,2.7,18.42,0.42,1809665,466438432.7,21.49,14.55,-9.4,7.28,2.74,2.25,2.25,2.28,0.37
871981,晶赛科技,17.19,17.98,2.62,90548,150447432.72,25.05,24.45,115.88,1.16,18.3,14.65,14.78,14.57,-1.21
300094,国联水产,2.96,17.93,0.45,1730456,496085873.16,15.94,15.66,95.19,3.39,3.01,2.61,2.64,2.51,0.34
300071,福石控股,2.53,16.59,0.36,1039237,261086785.76,20.28,11.23,292.66,7.98,2.6,2.16,2.17,2.17,0.0
688489,三未信安,24.96,15.18,3.29,18207,44109632.0,7.89,3.69,104.08,5.06,25.04,23.33,23.8,21.67,-0.12
300027,华谊兄弟,2.22,15.03,0.29,4617526,1018700656.59,16.06,18.58,124.6,1.52,2.32,2.01,2.01,1.93,0.45
300609,汇纳科技,23.9,13.92,2.92,114179,270727547.0,17.45,9.52,-43.9,2.51,24.86,21.2,21.2,20.98,0.13
300050,世纪鼎利,5.02,12.81,0.57,1832883,898787494.19,16.18,33.66,-95.55,0.91,5.2,4.48,4.49,4.45,0.2
688258,卓易信息,24.14,12.28,2.64,74248,176642551.0,18.05,6.13,75.82,1.62,25.29,21.41,21.7,21.5,0.0
300242,佳云科技,2.25,11.94,0.24,847707,187494877.87,16.92,13.46,-22.54,3.02,2.34,2.0,2.0,2.01,0.45
300302,同有科技,11.23,11.63,1.17,467757,519080757.01,17.5,12.68,59.6,5.38,11.8,10.04,10.08,10.06,-0.09
300384,三联虹普,13.19,11.03,1.31,109721,144480194.8,6.82,4.99,12.14,6.94,13.52,12.71,12.74,11.88,0.15
301236,软通动力,33.89,11.01,3.36,682284,2299753212.27,11.96,10.03,-104.63,2.13,35.1,31.45,31.5,30.53,-0.12
300469,信息发展,13.5,10.93,1.33,480516,641613288.38,13.48,19.36,-43.55,1.68,13.96,12.32,12.32,12.17,0.22
300052,中青宝,11.43,10.86,1.12,214129,238371111.57,16.88,8.18,-59.84,5.31,12.03,10.29,10.29,10.31,-0.95
300917,特发服务,31.56,10.78,3.07,198418,621316369.72,19.2,11.74,46.3,2.84,33.88,28.41,28.48,28.49,-0.5
688355,明志科技,13.18,10.39,1.24,30611,40381507.0,11.31,2.47,19.14,7.35,13.88,12.53,12.85,11.94,-0.75
002426,胜利精密,1.95,10.17,0.18,2955333,561942316.72,7.91,8.69,201.02,4.3,1.95,1.81,1.83,1.77,0.0
600936,广西广电,2.62,10.08,0.24,894110,224170385.0,12.18,5.35,-5.79,3.94,2.62,2.33,2.38,2.38,0.0
000679,大连友谊,3.06,10.07,0.28,149970,43679508.0,11.87,4.21,-20.65,1.17,3.06,2.73,2.75,2.78,0.0
002681,奋达科技,4.81,10.07,0.44,182530,87796761.65,0.0,1.23,50.4,0.3,4.81,4.81,4.81,4.37,0.0
002514,宝馨科技,4.81,10.07,0.44,63646,30613726.0,0.0,1.15,-16.34,0.43,4.81,4.81,4.81,4.37,0.0
600696,岩石股份,7.88,10.06,0.72,136122,102135153.0,11.31,4.07,-17.03,1.22,7.88,7.07,7.16,7.16,0.0
603626,科森科技,8.21,10.05,0.75,56934,46742650.0,0.0,1.03,-14.18,0.12,8.21,8.21,8.21,7.46,0.0
600228,返利科技,5.04,10.04,0.46,106431,52581132.0,9.61,3.54,351.5,2.57,5.04,4.6,4.6,4.58,0.0
002713,东易日盛,2.52,10.04,0.23,295401,71646079.25,10.92,7.18,-0.98,1.06,2.52,2.27,2.29,2.29,0.0
