股票代码,股票名称,最新价,涨跌幅,涨跌额,成交量（手）,成交额,振幅,换手率,市盈率,量比,最高,最低,今开,昨收,市净率
920008,N成电,20.12,101.2,10.12,120658,275863867.52,50.8,50.54,23.24,-,25.1,20.02,23.01,10.0,-1.57
300686,智动力,9.24,20.0,1.54,415820,376770348.92,19.74,20.93,-20.5,3.17,9.24,7.72,7.72,7.7,0.0
300562,乐心医疗,14.28,20.0,2.38,807394,1106618233.87,14.79,50.46,44.44,3.06,14.28,12.52,13.99,11.9,0.0
300337,银邦股份,9.0,20.0,1.5,1422419,1215198655.17,20.8,20.0,63.91,4.44,9.0,7.44,7.45,7.5,0.22
300438,鹏辉能源,27.19,19.99,4.53,1066098,2779914944.08,17.03,26.38,164.18,1.64,27.19,23.33,23.33,22.66,0.0
301278,快可电子,34.58,19.99,5.76,42445,140339857.05,20.78,12.58,20.61,4.18,34.58,28.59,29.0,28.82,0.0
300521,爱司凯,11.66,19.96,1.94,56601,63316703.04,22.12,3.93,-172.96,6.62,11.66,9.51,9.6,9.72,0.0
300088,长信科技,5.3,19.91,0.88,3125921,1587337810.2,17.87,12.8,35.24,3.6,5.3,4.51,4.51,4.42,0.0
300827,上能电气,36.5,17.44,5.42,222274,763359633.0,19.27,8.6,40.67,3.77,36.82,30.83,31.17,31.08,0.41
688131,皓元医药,22.4,16.79,3.22,71156,155177794.0,14.6,3.46,33.49,7.7,22.93,20.13,20.13,19.18,-0.22
300108,*ST吉药,2.05,16.48,0.29,387547,71321590.28,22.16,5.91,-4.93,1.48,2.09,1.7,1.71,1.76,3.54
688320,禾川科技,24.7,15.42,3.3,93560,221638446.0,22.34,8.86,-63.88,1.94,25.58,20.8,20.8,21.4,0.08
688717,艾罗能源,61.03,14.42,7.69,39220,227924228.0,17.6,12.26,71.88,2.23,62.0,52.61,53.57,53.34,-0.28
300338,*ST开元,2.02,14.12,0.25,310452,59496887.92,18.64,9.01,-22.57,1.54,2.09,1.76,1.8,1.77,-0.49
300040,九洲集团,5.34,13.86,0.65,646650,339369183.52,16.84,14.04,19.59,3.54,5.59,4.8,4.88,4.69,-0.56
831627,力王股份,11.14,13.44,1.32,95011,104628342.79,22.51,35.43,35.86,1.36,12.0,9.79,9.99,9.82,-0.54
688348,昱能科技,43.18,12.51,4.8,41528,173051749.0,15.37,5.15,42.25,2.76,43.9,38.0,38.44,38.38,-0.18
300709,精研科技,36.47,12.11,3.94,429123,1483086056.9,20.97,28.82,-62.59,1.35,38.85,32.03,32.03,32.53,1.47
430685,新芝生物,7.72,11.88,0.82,17629,13552986.32,25.8,3.95,27.05,12.96,8.6,6.82,6.98,6.9,0.78
300545,联得装备,24.74,11.74,2.6,161479,388480883.12,11.34,14.33,19.7,5.04,25.5,22.99,23.26,22.14,0.2
833429,康比特,9.25,11.71,0.97,17677,16262206.88,7.49,2.21,12.17,6.85,9.48,8.86,9.0,8.28,-0.86
301326,捷邦科技,35.85,11.68,3.75,77572,265577912.38,19.91,28.86,-228.94,1.06,37.97,31.58,31.72,32.1,0.7
300925,法本信息,10.13,11.32,1.03,376466,379498209.36,18.13,11.82,29.36,2.52,10.9,9.25,9.3,9.1,-0.1
301205,联特科技,52.99,11.25,5.36,54578,288868325.92,8.19,8.03,112.62,4.66,55.0,51.1,55.0,47.63,0.08
300473,德尔股份,16.38,10.98,1.62,121077,193864774.0,16.53,8.07,67.59,1.76,17.3,14.86,14.98,14.76,0.37
688379,华光新材,14.36,10.46,1.36,28397,39735404.0,7.23,3.17,14.28,7.14,14.49,13.55,14.0,13.0,-0.07
300210,森远股份,7.46,10.36,0.7,301573,222984314.28,16.72,6.24,-51.14,4.01,7.87,6.74,6.74,6.76,0.0
300255,常山药业,10.11,10.25,0.94,316561,310371718.63,9.81,3.46,-99.05,3.62,10.2,9.3,9.54,9.17,-0.1
600936,广西广电,2.38,10.19,0.22,508305,111179708.0,13.43,3.04,-5.69,4.45,2.38,2.09,2.14,2.16,0.85
002211,宏达新材,2.6,10.17,0.24,131263,33371918.0,11.86,3.04,-38.04,2.68,2.6,2.32,2.4,2.36,0.0
002547,春兴精工,3.15,10.14,0.29,840795,250548738.19,13.29,7.62,-19.03,1.12,3.15,2.77,2.84,2.86,0.0
688392,骄成超声,34.49,10.12,3.17,11659,38486981.0,14.46,1.7,376.97,4.02,34.73,30.2,33.0,31.32,0.12
002579,中京电子,6.88,10.08,0.63,279350,186791317.68,11.2,4.8,-28.86,2.48,6.88,6.18,6.22,6.25,0.0
002120,韵达股份,6.99,10.08,0.64,526504,359044400.68,6.46,1.87,9.74,4.48,6.99,6.58,6.65,6.35,0.0
002681,奋达科技,4.37,10.08,0.4,188297,82285906.99,0.0,1.27,45.79,0.29,4.37,4.37,4.37,3.97,0.0
002514,宝馨科技,4.37,10.08,0.4,273096,116325621.88,7.05,4.93,-20.49,2.83,4.37,4.09,4.12,3.97,0.0
002302,西部建设,7.87,10.07,0.72,1964401,1495158160.61,9.37,15.56,882.49,11.5,7.87,7.2,7.87,7.15,0.0
002144,宏达高科,9.09,10.05,0.83,143002,127315756.0,10.9,10.46,18.96,11.4,9.09,8.19,8.28,8.26,0.0
603085,天成自控,8.0,10.04,0.73,142193,110251008.0,7.57,3.84,100.71,4.57,8.0,7.45,7.98,7.27,0.0
601137,博威合金,14.8,10.04,1.35,401334,567021071.0,11.15,5.14,9.07,3.27,14.8,13.3,13.53,13.45,0.14
