2023351	4 9 0	125882648	2023-12-31
2023350	7 7 1	127090712	2023-12-30
2023349	5 1 4	130945294	2023-12-29
2023348	6 5 3	128956578	2023-12-28
2023347	5 6 0	133028400	2023-12-27
2023346	4 9 1	129915700	2023-12-26
2023345	4 3 6	130260656	2023-12-25
2023344	9 6 8	125506786	2023-12-24
2023343	8 4 8	123601832	2023-12-23
2023342	7 6 9	126193842	2023-12-22
2023341	2 2 7	124267006	2023-12-21
2023340	1 3 8	124727866	2023-12-20
2023339	8 4 7	123241348	2023-12-19
2023338	4 7 7	124552746	2023-12-18
2023337	8 6 2	117586786	2023-12-17
2023336	1 8 8	114399878	2023-12-16
2023335	1 1 1	122720374	2023-12-15
2023334	9 0 0	122635050	2023-12-14
2023333	1 8 8	124345938	2023-12-13
2023332	1 6 1	139900084	2023-12-12
2023331	2 4 1	145045328	2023-12-11
2023330	3 7 6	144620708	2023-12-10
2023329	5 7 3	142091366	2023-12-09
2023328	1 6 9	143454668	2023-12-08
2023327	0 1 4	137355998	2023-12-07
2023326	3 7 1	133189112	2023-12-06
2023325	4 9 0	133071592	2023-12-05
2023324	4 9 5	129802312	2023-12-04
2023323	2 6 9	120901882	2023-12-03
2023322	8 0 4	120430196	2023-12-02
2023321	7 5 2	124936806	2023-12-01
2023320	3 7 5	118270742	2023-11-30
2023319	7 2 7	122202842	2023-11-29
2023318	0 1 4	118053200	2023-11-28
2023317	1 3 1	124970104	2023-11-27
2023316	4 8 3	119978842	2023-11-26
2023315	6 1 8	115878868	2023-11-25
2023314	2 2 8	121250072	2023-11-24
2023313	9 8 9	122202054	2023-11-23
2023312	7 9 1	125565116	2023-11-22
2023311	2 7 1	117108688	2023-11-21
2023310	9 5 6	118921986	2023-11-20
2023309	2 0 2	124704500	2023-11-19
2023308	5 9 4	122668080	2023-11-18
2023307	9 3 7	118239434	2023-11-17
2023306	8 8 8	121079982	2023-11-16
2023305	6 8 2	122745730	2023-11-15
2023304	4 8 0	118100754	2023-11-14
2023303	7 2 1	118376956	2023-11-13
2023302	6 1 8	108319360	2023-11-12
2023301	5 8 0	107116348	2023-11-11
